instant,atemp,casual,cnt,dteday,holiday,hum,mnth,registered,season,temp,weathersit,weekday,windspeed,workingday,yr
23,0.0988391,150,986,2011-01-23,0,0.436522,1,836,1,0.0965217,1,0,0.2466,0,0
114,0.551763,1710,4191,2011-04-24,0,0.810833,4,2481,2,0.581667,2,0,0.192175,0,0
660,0.456429,2132,6824,2012-10-21,0,0.51,10,4692,4,0.464167,1,0,0.166054,0,1
53,0.186033,74,1450,2011-02-22,0,0.577778,2,1376,1,0.182222,1,2,0.195683,1,0
110,0.564392,613,3944,2011-04-20,0,0.614167,4,3331,2,0.595,1,3,0.241925,1,0
91,0.283454,307,2227,2011-04-01,0,0.68625,4,1920,2,0.3,2,5,0.258708,1,0
128,0.518933,1401,4333,2011-05-08,0,0.631667,5,2932,2,0.528333,1,0,0.0746375,0,0
363,0.263892,254,2423,2011-12-29,0,0.574167,12,2169,1,0.248333,1,4,0.119412,1,0
251,0.555361,153,1842,2011-09-08,0,0.939565,9,1689,3,0.633913,3,4,0.192748,1,0
310,0.362358,952,3649,2011-11-06,0,0.734583,11,2697,4,0.348333,1,0,0.0920542,0,0
247,0.665429,2521,4940,2011-09-04,0,0.742083,9,2419,3,0.709167,1,0,0.206467,0,0
214,0.707071,801,4845,2011-08-02,0,0.49125,8,4044,3,0.783333,1,2,0.20585,1,0
429,0.303021,710,3423,2012-03-04,0,0.403333,3,2713,1,0.325833,1,0,0.334571,0,1
117,0.575142,547,3872,2011-04-27,0,0.835417,4,3325,2,0.62,2,3,0.3122,1,0
547,0.687508,1455,5687,2012-06-30,0,0.60125,6,4232,3,0.765,1,6,0.161071,0,1
144,0.604813,659,4492,2011-05-24,0,0.740833,5,3833,2,0.66,2,2,0.207092,1,0
718,0.409708,433,5557,2012-12-18,0,0.66625,12,5124,4,0.410833,1,2,0.221404,1,1
567,0.613025,747,5870,2012-07-20,0,0.844167,7,5123,3,0.665833,2,5,0.208967,1,1
120,0.464021,1965,5312,2011-04-30,0,0.503333,4,3347,2,0.4725,1,6,0.235075,0,0
504,0.551121,1521,7639,2012-05-18,0,0.523333,5,6118,2,0.564167,1,5,0.136817,1,1
729,0.2424,159,1341,2012-12-29,0,0.752917,12,1182,1,0.253333,2,6,0.124383,0,1
219,0.715292,1298,3785,2011-08-07,0,0.752917,8,2487,3,0.7425,1,0,0.201487,0,0
695,0.257583,309,2424,2012-11-25,0,0.468333,11,2115,4,0.245833,1,0,0.1505,0,1
475,0.493046,846,6565,2012-04-19,0,0.6125,4,5719,2,0.498333,1,4,0.0659292,1,1
140,0.529042,909,4917,2011-05-20,0,0.719583,5,4008,2,0.536667,1,5,0.125013,1,0
308,0.403392,470,4046,2011-11-04,0,0.6225,11,3576,4,0.403333,2,5,0.271779,1,0
483,0.452637,1014,6233,2012-04-27,0,0.400833,4,5219,2,0.4575,1,5,0.347633,1,1
55,0.289191,100,1807,2011-02-24,0,0.697391,2,1707,1,0.295652,2,4,0.250496,1,0
441,0.436229,548,4378,2012-03-16,0,0.842083,3,3830,1,0.435833,2,5,0.113192,1,1
662,0.530304,841,7466,2012-10-23,0,0.641667,10,6625,4,0.544167,1,2,0.0945458,1,1
255,0.60213,690,4713,2011-09-12,0,0.692174,9,4023,3,0.644348,1,1,0.088913,1,0
331,0.4558,810,3071,2011-11-27,0,0.698333,11,2261,4,0.459167,1,0,0.208954,0,0
129,0.525246,664,4362,2011-05-09,0,0.58875,5,3698,2,0.5325,1,1,0.176,1,0
530,0.611117,1173,7421,2012-06-13,0,0.582083,6,6248,2,0.655833,1,3,0.343279,1,1
631,0.610488,2512,8395,2012-09-22,0,0.646667,9,5883,3,0.65,1,6,0.283583,0,1
551,0.732337,2562,7403,2012-07-04,1,0.53875,7,4841,3,0.789167,1,3,0.13495,0,1
649,0.503142,780,7691,2012-10-10,0,0.630833,10,6911,4,0.514167,1,3,0.187821,1,1
701,0.316904,951,5191,2012-12-01,0,0.806667,12,4240,4,0.298333,2,6,0.0597042,0,1
