instant,atemp,casual,cnt,dteday,holiday,hr,hum,mnth,registered,season,temp,weathersit,weekday,windspeed,workingday,yr
4317,0.7424,74,181,2011-07-03,0,18,0.49,7,107,3,0.8,3,0,0.8507,0,0
3372,0.6364,27,234,2011-05-25,0,9,0.65,5,207,2,0.68,1,3,0.0896,1,0
14340,0.6212,174,434,2012-08-25,0,16,0.74,8,260,3,0.66,2,6,0.2985,0,1
1584,0.303,14,81,2011-03-11,0,11,0.57,3,67,1,0.32,2,5,0.2985,1,0
7034,0.5303,52,285,2011-10-25,0,16,0.37,10,233,4,0.56,1,2,0.194,1,0
13909,0.7424,125,868,2012-08-07,0,17,0.62,8,743,3,0.78,2,2,0.1343,1,1
9892,0.3333,0,2,2012-02-22,0,4,0.71,2,2,1,0.34,1,3,0.1642,1,1
16096,0.2879,22,275,2012-11-08,0,9,0.31,11,253,4,0.32,1,4,0.3582,1,1
9640,0.2424,38,243,2012-02-11,0,14,0.81,2,205,1,0.26,2,6,0.2537,0,1
9067,0.2273,13,176,2012-01-18,0,16,0.3,1,163,1,0.28,1,3,0.5224,1,1
17062,0.4394,40,363,2012-12-18,0,16,0.41,12,323,4,0.44,1,2,0.4627,1,1
14059,0.6515,28,128,2012-08-13,0,23,0.7,8,100,3,0.7,1,1,0.2239,1,1
4830,0.7121,2,4,2011-07-25,0,3,0.79,7,2,3,0.74,1,1,0,1,0
2731,0.5909,42,270,2011-04-28,0,16,0.78,4,228,2,0.62,1,4,0.2537,1,0
10113,0.3485,14,132,2012-03-02,0,10,0.5,3,118,1,0.36,1,5,0.1642,1,1
5056,0.7121,37,144,2011-08-03,0,13,0.58,8,107,3,0.76,2,3,0.2239,1,0
11194,0.6818,105,288,2012-04-16,1,14,0.45,4,183,2,0.76,1,1,0.3284,0,1
6428,0.5303,23,237,2011-09-30,0,9,0.73,9,214,4,0.56,1,5,0.194,1,0
11929,0.5303,1,35,2012-05-17,0,5,0.68,5,34,2,0.56,1,4,0.3284,1,1
2713,0.5606,18,129,2011-04-27,0,22,0.88,4,111,2,0.62,2,3,0.3284,1,0
769,0.2273,3,64,2011-02-04,0,11,0.51,2,61,1,0.22,1,5,0.1642,1,0
9973,0.2879,48,226,2012-02-25,0,13,0.31,2,178,1,0.32,1,6,0.4925,0,1
1863,0.303,8,182,2011-03-23,0,9,0.81,3,174,2,0.32,2,3,0.2537,1,0
9495,0.2576,25,248,2012-02-05,0,12,0.65,2,223,1,0.26,2,0,0.194,0,1
7863,0.5,1,89,2011-11-29,0,6,0.83,11,88,4,0.52,1,2,0.2836,1,0
15957,0.4091,64,294,2012-11-02,0,13,0.43,11,230,4,0.4,1,5,0.3582,1,1
15312,0.5152,0,11,2012-10-05,0,4,0.77,10,11,4,0.54,1,5,0,1,1
13892,0.6667,15,47,2012-08-07,0,0,0.84,8,32,3,0.7,1,2,0.194,1,1
2453,0.4091,4,29,2011-04-17,0,2,0.62,4,25,2,0.4,1,0,0.194,0,0
11464,0.4545,49,289,2012-04-27,0,20,0.31,4,240,2,0.46,1,5,0.2836,1,1
2302,0.4848,103,240,2011-04-10,0,18,0.77,4,137,2,0.5,1,0,0.194,0,0
15868,0.4848,55,173,2012-10-28,0,8,0.59,10,118,4,0.5,2,0,0.5522,0,1
