casual,registered
794,6904
2634,4344
1027,4488
188,3425
214,1730
480,1949
1026,6468
1512,6640
2704,4425
555,4240
1508,6644
1199,6259
1099,6259
1004,6423
1348,5424
449,5050
1009,6323
1049,6482
921,5958
1053,6824
1382,6709
939,6781
2290,4562
1381,6709
993,6234
1405,6257
778,5127
327,3767
713,3857
1060,6222
516,4546
1176,6530
934,6546
758,6894
987,6458
784,3845
984,6457
1051,5042
839,6791
1076,6229
1168,6271
1506,6641
982,1435
792,6921
2551,4340
997,5315
1453,6634
620,4097
775,6721
1263,6852
536,3319
1090,6432
1252,5146
911,6468
314,3814
813,6839
1058,6234
1363,6402
1076,6264
841,6714
1350,6335
835,6222
784,6894
430,887
1019,6478
1050,6830
2496,4387
2544,4866
1017,5647
548,3830
2795,5325
307,3791
1055,6745
1172,6539
173,3425
1196,6090
793,6839
2229,4075
150,3172
988,6468
221,3735
1069,6489
992,6423
956,3110
1052,6814
1089,6229
1036,6249
1079,6512
1042,6457
182,3545
1248,6868
1008,5265
3031,4934
1071,5927
1367,6402
1431,6714
1180,6183
1171,6242
174,746
692,3413
775,3563
738,6877
783,4332
784,6856
659,3833
108,1454
1119,6429
1001,6493
845,6693
254,2169
983,6458
1041,6457
1124,6242
1007,6467
174,3040
1092,6252
993,6470
1124,6259
456,3291
1410,6324
639,3166
1362,6395
1208,6259
1263,6271
782,6904
1211,6252
749,6894
1152,6252
177,1506
470,3576
186,1799
792,6921
1062,6757
876,6460
216,3534
1290,6852
1032,6234
1064,6239
769,6823
1035,6401
1094,6455
1019,6503
729,6823
1524,2778
1303,6852
1052,6367
1404,6257
647,4138
2827,5038
1360,6405
1330,6261
513,3461
1094,6281
949,4181
205,1544
738,6877
1090,6385
1011,6267
137,1714
1333,6261
486,4896
753,6877
1071,6367
1054,6750
1082,6322
1000,6433
1035,6479
1122,5108
834,5299
875,6460
1180,6254
781,6856
41,1280
172,1299
968,6033
64,1466
694,4109
871,3808
1049,6482
424,2320
917,6652
1020,6424
57,570
799,3777
1041,6446
2282,2367
830,6228
979,6457
846,3480
639,1173
974,6268
1082,6252
307,1920
1096,6247
88,1620
836,6714
862,6652
721,4004
665,1820
879,1576
1315,6259
1080,6269
209,1953
1335,6261
1064,6698
121,674
362,5306
782,6721
126,2468
1022,5847
840,6680
243,5080
167,1628
788,6803
1178,6254
120,1592
333,2160
981,6262
1140,6485
428,3231
1038,6436
1101,6385
845,6278
120,907
1171,6544
1330,6268
87,1009
1008,6445
2657,4801
1069,6229
842,6658
981,1515
784,6928
929,6556
1192,5265
1070,6697
795,6816
1067,6690
1139,5640
853,6263
964,6765
441,2787
1052,6784
990,6273
1532,3464
1405,4836
695,4169
815,3771
983,6249
1207,5676
2355,2433
1023,6493
875,6460
373,3662
1633,3413
1011,6445
867,5997
1171,6496
46,577
145,1672
880,4863
794,6769
321,1871
112,2454
1338,2482
618,5229
777,6721
1053,6757
1122,6429
1039,6436
551,6055
1364,6402
1296,6263
842,6357
178,3562
968,6248
625,4490
1024,6267
135,3787
1380,6709
767,4280
1388,6786
1004,2713
1387,6714
898,1354
1011,6478
920,6547
1065,6239
1174,6530
362,3307
844,6714
181,3528
668,4026
227,2841
2846,4286
1069,5227
968,6268
890,6652
1261,6269
797,3356
974,6800
1115,6252
226,889
1104,6385
1054,6750
1375,6634
995,6445
971,6262
1265,6273
