casual,registered
7,253
14,212
10,68
5,15
24,103
184,315
12,105
59,253
61,174
7,165
6,76
2,168
37,216
30,121
0,9
37,150
4,26
19,538
4,84
14,109
11,244
57,288
1,6
21,75
5,83
119,567
3,6
42,111
125,191
3,53
58,246
0,13
0,53
52,172
156,275
178,326
0,20
43,600
1,16
80,426
1,15
5,20
4,6
14,122
4,117
11,32
28,286
161,182
99,758
23,135
19,220
0,3
47,691
57,218
85,472
51,137
1,7
24,329
163,296
13,69
18,153
26,628
17,69
180,246
50,278
56,347
3,14
24,27
66,112
144,325
44,294
101,284
1,51
0,2
89,241
14,16
0,20
29,78
265,373
40,195
10,11
0,3
7,40
195,262
9,79
27,65
1,6
40,149
19,114
79,492
1,10
39,453
53,660
198,346
53,236
41,499
3,59
171,225
8,6
91,183
4,44
14,99
10,85
1,1
62,161
64,161
7,46
51,141
9,440
143,217
53,555
0,4
0,7
16,397
4,75
58,326
27,108
4,24
1,3
16,51
25,199
0,5
0,2
53,189
57,273
0,35
67,349
48,110
4,15
36,429
49,130
31,119
0,1
49,166
41,126
12,90
20,48
5,15
27,139
12,292
73,135
0,22
31,95
129,266
3,75
55,208
3,23
2,30
14,126
5,87
42,295
47,218
26,198
16,135
9,567
52,143
17,178
46,151
24,63
141,146
143,163
11,333
23,148
63,131
98,258
1,2
3,36
1,15
84,152
2,8
0,5
264,309
33,152
2,34
14,198
65,113
1,2
5,30
70,186
65,116
122,263
29,234
157,290
0,13
50,260
76,270
290,245
58,211
79,158
61,156
3,84
21,187
64,165
44,145
175,337
112,774
65,616
42,167
42,438
7,29
41,165
22,104
35,110
82,149
3,9
91,232
30,597
9,33
27,414
14,55
63,125
53,611
28,366
130,252
0,32
0,3
39,165
39,88
58,111
51,158
45,163
0,4
48,251
17,81
30,80
0,3
44,171
2,67
20,134
15,69
12,242
10,52
2,27
367,318
0,3
62,187
5,140
31,161
50,223
26,228
3,29
16,64
100,144
2,1
29,206
40,156
0,31
31,148
3,20
143,328
9,188
7,21
0,5
73,549
41,156
167,300
30,84
2,5
68,429
111,619
222,362
10,235
52,368
12,174
10,50
82,299
0,26
8,187
7,51
8,79
113,646
8,149
49,173
74,156
17,71
24,163
65,345
29,93
30,285
0,4
1,52
7,8
138,196
9,33
2,6
61,104
11,375
17,42
46,176
18,98
22,109
4,174
3,47
55,239
122,150
29,166
0,9
69,233
1,106
198,206
43,117
7,50
95,493
51,150
77,268
73,346
2,12
53,260
4,237
20,106
20,30
5,63
21,214
30,132
1,8
10,76
18,82
0,21
10,161
26,30
25,130
158,247
16,19
0,4
29,115
128,397
3,5
126,176
0,3
8,155
1,15
1,14
0,18
10,46
0,4
8,61
14,125
29,95
99,227
1,4
155,188
10,348
80,527
3,8
3,5
186,188
49,168
90,419
3,89
204,288
8,227
67,163
7,99
4,93
0,1
32,83
0,6
0,4
0,18
18,62
51,130
2,114
9,277
88,227
17,135
6,40
62,156
57,536
10,69
9,37
91,128
321,305
1,68
19,77
15,161
31,170
35,79
78,299
39,138
25,71
132,274
50,216
0,3
4,26
65,198
0,26
6,16
36,556
2,154
65,160
254,349
1,3
1,0
124,254
58,225
0,1
